year,energy,flux,label,order
1996,0.00038618500000000015,14425433381.307487,"Fit of year 1996, order 1",1.0
1996,0.0003906583432161506,14048593365.983475,"Fit of year 1996, order 1",1.0
1996,0.0003951835030474716,13681597657.821327,"Fit of year 1996, order 1",1.0
1996,0.00039976107970760076,13324189090.96945,"Fit of year 1996, order 1",1.0
1996,0.0004043916803627042,12976117217.598402,"Fit of year 1996, order 1",1.0
1996,0.00040907591921200746,12637138132.40417,"Fit of year 1996, order 1",1.0
1996,0.00041381441756926555,12307014301.695715,"Fit of year 1996, order 1",1.0
1996,0.00041860780394517013,11985514396.947329,"Fit of year 1996, order 1",1.0
1996,0.0004234567141307183,11672413132.699343,"Fit of year 1996, order 1",1.0
1996,0.00042836179128153984,11367491108.693161,"Fit of year 1996, order 1",1.0
1996,0.00043332368600320823,11070534656.130262,"Fit of year 1996, order 1",1.0
1996,0.0004383430564375331,10781335687.94765,"Fit of year 1996, order 1",1.0
1996,0.00044342056834985923,10499691553.004423,"Fit of year 1996, order 1",1.0
1996,0.0004485568952173694,10225404894.07751,"Fit of year 1996, order 1",1.0
1996,0.0004537527183184176,9958283509.566961,"Fit of year 1996, order 1",1.0
1996,0.0004590087268228896,9698140218.814339,"Fit of year 1996, order 1",1.0
1996,0.0004643256178836175,9444792730.938646,"Fit of year 1996, order 1",1.0
1996,0.00046970409672884595,9198063517.099495,"Fit of year 1996, order 1",1.0
1996,0.00047514487675577664,8957779686.09678,"Fit of year 1996, order 1",1.0
1996,0.0004806486796251892,8723772863.22018,"Fit of year 1996, order 1",1.0
1996,0.0004862162353571653,8495879072.263473,"Fit of year 1996, order 1",1.0
1996,0.0004918482824279143,8273938620.621213,"Fit of year 1996, order 1",1.0
1996,0.0004975455678677277,8057795987.386668,"Fit of year 1996, order 1",1.0
1996,0.0005033088473600612,7847299714.373529,"Fit of year 1996, order 1",1.0
1996,0.0005091388853417716,7642302299.983987,"Fit of year 1996, order 1",1.0
1996,0.0005150364551045071,7442660095.8496895,"Fit of year 1996, order 1",1.0
1996,0.0005210023388972804,7248233206.172589,"Fit of year 1996, order 1",1.0
1996,0.000527037328030221,7058885389.695514,"Fit of year 1996, order 1",1.0
1996,0.0005331422229795386,6874483964.233273,"Fit of year 1996, order 1",1.0
1996,0.0005393178334936934,6694899713.698157,"Fit of year 1996, order 1",1.0
1996,0.0005455649787008045,6520006797.55382,"Fit of year 1996, order 1",1.0
1996,0.0005518844872172941,6349682662.634822,"Fit of year 1996, order 1",1.0
1996,0.0005582771972577989,6183807957.269581,"Fit of year 1996, order 1",1.0
1996,0.0005647439567463462,6022266447.646873,"Fit of year 1996, order 1",1.0
1996,0.000571285623428826,5864944936.366831,"Fit of year 1996, order 1",1.0
1996,0.0005779030649867571,5711733183.120036,"Fit of year 1996, order 1",1.0
1996,0.0005845971591523806,5562523827.4383745,"Fit of year 1996, order 1",1.0
1996,0.0005913687938250766,5417212313.464153,"Fit of year 1996, order 1",1.0
1996,0.0005982188671891397,5275696816.684359,"Fit of year 1996, order 1",1.0
1996,0.0006051482878329082,5137878172.578986,"Fit of year 1996, order 1",1.0
1996,0.0006121579748692836,5003659807.133082,"Fit of year 1996, order 1",1.0
1996,0.0006192488580576361,4872947669.164354,"Fit of year 1996, order 1",1.0
1996,0.000626421877927132,4745650164.418291,"Fit of year 1996, order 1",1.0
1996,0.00063367798590148,4621678091.385177,"Fit of year 1996, order 1",1.0
1996,0.0006410181444251318,4500944578.793655,"Fit of year 1996, order 1",1.0
1996,0.0006484433270909358,4383365024.737189,"Fit of year 1996, order 1",1.0
1996,0.0006559545187692778,4268857037.3907995,"Fit of year 1996, order 1",1.0
1996,0.0006635527157387091,4157340377.276387,"Fit of year 1996, order 1",1.0
1996,0.0006712389258180964,4048736901.036288,"Fit of year 1996, order 1",1.0
1996,0.000679014168500294,3942970506.6757245,"Fit of year 1996, order 1",1.0
1996,0.0006868794750873723,3839967080.2356424,"Fit of year 1996, order 1",1.0
1996,0.0006948358888274072,3739654443.858645,"Fit of year 1996, order 1",1.0
1996,0.0007028844650528541,3641962305.2115846,"Fit of year 1996, order 1",1.0
1996,0.0007110262713205281,3546822208.2295547,"Fit of year 1996, order 1",1.0
1996,0.0007192623875532053,3454167485.1463146,"Fit of year 1996, order 1",1.0
1996,0.000727593906182861,3363933209.7781343,"Fit of year 1996, order 1",1.0
1996,0.0007360219322955681,3276056152.0278707,"Fit of year 1996, order 1",1.0
1996,0.000744547583778076,3190474733.577577,"Fit of year 1996, order 1",1.0
1996,0.0007531719914660879,3107128984.7385726,"Fit of year 1996, order 1",1.0
1996,0.0007618962992942522,3025960502.4287114,"Fit of year 1996, order 1",1.0
1996,0.0007707216644478912,2946912409.2474904,"Fit of year 1996, order 1",1.0
1996,0.0007796492575164942,2869929313.6201158,"Fit of year 1996, order 1",1.0
1996,0.0007886802626489777,2794957270.9829187,"Fit of year 1996, order 1",1.0
1996,0.0007978158777107561,2721943745.982556,"Fit of year 1996, order 1",1.0
1996,0.0008070573144426191,2650837575.6628265,"Fit of year 1996, order 1",1.0
1996,0.0008164057986214629,2581588933.6130958,"Fit of year 1996, order 1",1.0
1996,0.0008258625702228695,2514149295.053351,"Fit of year 1996, order 1",1.0
1996,0.0008354288835855827,2448471402.8312297,"Fit of year 1996, order 1",1.0
1996,0.0008451060075778757,2384509234.3074794,"Fit of year 1996, order 1",1.0
1996,0.0008548952257658603,2322217969.1063204,"Fit of year 1996, order 1",1.0
1996,0.0008647978365837302,2261553957.7083898,"Fit of year 1996, order 1",1.0
