1.0,0.853689
1.561384,0.853689
1.568373,0.852972
1.578737,0.851504
1.589239,0.851304
1.599882,0.853172
1.610668,0.853706
1.621601,0.850570
1.632683,0.851504
1.643918,0.851571
1.655309,0.852238
1.666858,0.851237
1.678570,0.852038
1.690447,0.854306
1.702494,0.851704
1.714714,0.852772
1.727110,0.853105
1.739687,0.852238
1.752448,0.853839
1.765398,0.852772
1.778541,0.852572
1.791881,0.853506
1.805423,0.854106
1.819171,0.853973
1.833130,0.854106
1.847304,0.853773
1.861700,0.853439
1.876322,0.853906
1.891175,0.854306
1.906265,0.855240
1.921598,0.855574
1.937180,0.855062
1.953016,0.855707
1.969114,0.857776
1.985479,0.856575
2.002118,0.856708
2.019039,0.856575
2.036248,0.857309
2.053753,0.857509
2.071562,0.857909
2.089682,0.857375
2.108122,0.857709
2.126890,0.858710
2.145995,0.857976
2.165447,0.857575
2.185255,0.858376
2.205428,0.858509
2.225977,0.859510
2.246913,0.859510
2.268246,0.859910
2.289989,0.859510
2.312152,0.859844
2.334748,0.860044
2.357791,0.860578
2.381292,0.860444
2.405267,0.860578
2.429730,0.859844
2.454695,0.859443
2.480179,0.859110
2.506197,0.859377
2.532768,0.858509
2.559907,0.858976
2.587634,0.857976
2.615969,0.856908
2.644931,0.855374
2.674542,0.853172
2.704823,0.850570
2.735797,0.845099
2.767489,0.834625
2.796945,0.819176
2.820964,0.801819
2.843860,0.787487
2.873400,0.779450
2.908381,0.785655
2.944224,0.792193
2.980962,0.788390
3.016895,0.774613
3.043096,0.757367
3.057257,0.739754
3.067965,0.720918
3.076945,0.701592
3.084168,0.678842
3.091424,0.655724
3.098715,0.637010
3.102373,0.613526
3.104205,0.597625
3.112785,0.570961
3.118942,0.547183
3.126363,0.520873
3.133820,0.499611
3.160200,0.473011
3.196720,0.484638
3.226153,0.504010
3.254273,0.515704
3.306111,0.511003
3.340997,0.527809
3.362371,0.545128
3.384020,0.563035
3.410370,0.579977
3.450673,0.590108
3.501245,0.599782
3.553321,0.607522
3.606970,0.599582
3.652084,0.589203
3.693144,0.575527
3.732485,0.558729
3.764566,0.540749
3.805452,0.518882
3.858534,0.506966
3.895714,0.487787
3.911952,0.466749
3.924805,0.445577
3.933618,0.423450
3.966271,0.398918
3.994677,0.412626
4.009798,0.425144
#4.039431,0.441084
#4.092907,0.419536
#4.147091,0.409099
#4.167806,0.413628
#4.186521,0.403636
#4.227896,0.383821
#4.248402,0.362049
#4.262182,0.343457
#4.283022,0.327862
#4.311128,0.309258
#4.346783,0.293847
#4.379380,0.275573
#4.412470,0.259134
#4.461159,0.244475
#4.526475,0.225220
#4.605808,0.218964
#4.696350,0.230239
#4.777459,0.246814
#4.843499,0.262049
#4.911390,0.277132
#4.981212,0.294497
#5.053048,0.309882
#5.111260,0.321497
#5.147069,0.316904
#5.218618,0.297223
#5.292184,0.280050
#5.412074,0.270869
#5.502735,0.254804
#5.560957,0.238952
#5.614420,0.220715
#5.650638,0.204060
#5.743258,0.186273
#5.878147,0.174444
#5.971650,0.153565
